material  lattice_constant  bul_modulus  band_gap  rS_A rP_A rS_B rP_B Z_A Z_B HOMO_A LUMO_A EA_A IP_A HOMO_B LUMO_B EA_B IP_B c_A 
NaPbO3  4.23377193  0.547980366859  0.02872667  1.79480 2.70420 1.04520 1.42350 11 82 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -3.503690269109 -3.503690389384 -0.958997386626 6.476888103509 1.00
NaBiO3  4.15832055  0.719195545241  0.04132738  1.79480 2.70420 0.99410 1.31290 11 83 -2.745608481757 -0.680885884050 -0.833944502713 4.972461864550 -4.706546707306 -4.706546868874 -1.846753393810 7.964551439414 1.00
KAlO3  3.80494363  0.814829128583  0.00334377  2.28600 3.16750 1.10410 1.43130 19 13 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -2.547095300306 -2.547095387743 -0.308077870308 5.449666311380 1.00
KTiO3  3.90857500  0.991615254838  0.00854400  2.28600 3.16750 1.54120 2.08940 19 22 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.667603032050 -3.667603157952 -0.021725201808 7.552223574011 1.00
KVO3  3.77880832  1.18811696789  0.90863392  2.28600 3.16750 1.45970 2.04700 19 23 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.798406943350 -4.798407108071 -0.664676976192 7.407416209273 1.00
KCrO3  3.72448876  1.21511753284  0.01074824  2.28600 3.16750 1.42470 2.01210 19 24 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.733548486143 -4.733548648638 -1.259830231993 6.979022153017 1.00
KMnO3  3.69946481  1.18938846712  0.01931011  2.28600 3.16750 0.41350 2.18240 19 25 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.333466263373 -0.671345464134 -1.423902065558 6.884430469844 1.00
KFeO3  3.70939138  1.0848773855  0.01077304  2.28600 3.16750 1.39120 2.20810 19 26 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.836619504771 -3.836619636475 -1.415506591628 7.089031766055 1.00
KCoO3  3.74373500  0.967368698736  0.00107395  2.28600 3.16750 1.38110 1.65750 19 27 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -3.347469515837 -3.347469630750 -1.133799031088 7.525127748251 1.00
KNiO3  3.78833286  0.844603747804  0.02175382  2.28600 3.16750 1.37820 1.61770 19 28 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -2.919817594254 -2.919817694486 -0.680064535054 8.128919800973 1.00
